school_name,state,number_of_ratings,facilities,location,happiness,opportunities,clubs,social,safety,food,internet
Brooklyn College,New York,411.0,3.7,3.7,3.6,3.4,3.2,3.0,3.5,2.9,3.1
Baruch College,New York,578.0,3.1,4.2,3.5,3.8,3.3,2.8,4.0,2.8,3.2
City College of New York,New York,476.0,3.2,3.2,3.2,3.2,3.1,2.9,3.0,2.6,3.0
John Jay College of Criminal Justice,New York,560.0,3.8,4.1,3.9,3.9,3.5,3.2,4.4,3.3,3.4
Hunter College,New York,568.0,2.8,3.7,3.0,3.0,2.8,2.4,3.8,2.4,3.0
Lehman College,New York,281.0,3.8,3.8,3.8,3.4,3.2,3.2,3.7,3.2,3.5
Medgar Evers College,New York,195.0,3.0,3.2,3.2,3.0,2.8,2.8,3.2,2.9,3.2
New York City College of Technology,New York,425.0,2.7,3.5,2.9,2.9,2.7,2.5,3.8,2.6,2.6
Claflin University,South Carolina,14.0,3.4,1.8,2.8,2.9,2.7,2.3,3.3,2.4,2.6
CUNY Queens College,New York,547.0,3.6,3.5,3.3,3.2,3.1,2.8,3.9,2.7,3.0
Claremont McKenna College,California,70.0,4.5,4.4,4.7,4.8,4.5,4.6,4.7,4.4,4.2
Claremont Graduate University,California,22.0,4.1,4.2,3.7,3.4,3.5,3.4,4.8,3.5,4.2
Clark Atlanta University,Georgia,82.0,3.2,3.1,3.6,3.9,3.8,4.0,2.1,2.6,2.5
Clark University,Massachusetts,157.0,3.5,2.8,3.9,3.6,3.8,3.5,3.3,2.8,3.5
Clarke University,Iowa,32.0,3.2,3.2,3.3,3.1,2.7,2.6,3.0,3.3,2.9
Clarkson University,New York,138.0,2.8,2.8,3.1,4.1,3.5,3.1,4.2,2.3,2.8
Clarkson College,Nebraska,17.0,3.8,3.9,3.8,3.6,2.1,2.8,3.3,2.2,4.1
Cleveland Institute of Music,Ohio,7.0,3.4,3.1,4.1,4.0,2.1,3.6,3.0,2.7,3.9
Clemson University,South Carolina,864.0,4.4,4.1,4.5,4.4,4.3,4.3,4.6,3.3,4.0
Cleveland State University,Ohio,411.0,3.6,3.7,3.6,3.5,3.1,3.1,2.8,3.1,3.7
Clayton State University,Georgia,193.0,3.9,3.5,3.6,3.4,3.0,3.1,2.8,3.0,3.2
Coastal Carolina University,South Carolina,458.0,4.2,4.2,4.0,3.7,3.7,3.8,3.6,2.9,3.2
Coe College,Iowa,58.0,3.3,3.0,3.4,3.9,3.5,3.5,3.8,2.4,2.4
Coker University,South Carolina,38.0,3.2,2.8,3.3,3.0,3.2,3.1,3.5,2.2,2.4
Colby-Sawyer College,New Hampshire,55.0,3.7,3.1,3.6,3.3,3.4,3.1,4.4,2.5,2.9
Colgate University,New York,143.0,4.6,3.3,4.5,4.5,4.1,4.2,4.3,3.1,3.7
College of Charleston,South Carolina,480.0,4.3,4.7,4.4,4.1,4.1,4.2,3.4,3.4,3.5
Misericordia University,Pennsylvania,101.0,3.7,3.1,3.4,3.3,3.0,2.9,4.4,2.6,2.7
The College of New Jersey,New Jersey,332.0,3.8,3.2,3.7,3.8,3.5,3.2,4.0,2.8,3.1
Notre Dame of Maryland University,Maryland,50.0,2.9,3.4,2.9,3.3,2.6,2.4,3.8,2.1,2.7
The College of Saint Scholastica,Minnesota,72.0,3.6,4.4,3.7,3.7,3.2,3.3,4.3,2.6,3.2
College of the Atlantic,Maine,19.0,3.7,4.1,3.8,3.3,2.7,3.1,4.0,4.1,3.1
College of the Ozarks,Missouri,24.0,3.4,3.9,4.0,4.0,3.4,3.4,4.7,2.7,2.7
St. Catherine University,Minnesota,143.0,3.9,4.0,3.6,3.7,3.1,2.7,4.2,2.9,3.3
The College of Wooster,Ohio,106.0,3.9,2.8,3.8,3.9,3.7,3.5,3.5,2.9,3.5
Colorado College,Colorado,81.0,4.3,4.1,4.5,4.3,4.0,4.1,4.4,4.0,3.5
College of William and Mary,Virginia,451.0,4.2,4.0,4.2,4.3,4.2,3.8,4.6,2.8,3.9
Colorado Christian University,Colorado,62.0,3.9,4.2,4.2,3.7,3.4,3.8,4.2,3.2,2.6
Colorado School of Mines,Colorado,212.0,3.7,4.3,3.3,4.3,3.4,2.8,4.4,2.4,3.6
Colorado State University,Colorado,470.0,4.4,4.6,4.4,4.2,4.0,4.1,4.4,3.7,3.4
Washington Adventist University,Maryland,21.0,2.4,2.6,2.6,2.4,2.3,2.5,3.2,2.4,2.4
Columbia University,New York,109.0,3.9,4.4,3.7,4.3,3.6,3.4,3.5,3.3,3.9
Concord University,West Virginia,49.0,3.9,2.9,4.1,3.3,3.2,3.2,4.8,3.0,3.1
Columbus State University,Georgia,159.0,3.7,3.6,3.6,3.6,3.3,3.3,3.8,2.9,3.2
Concordia University,Michigan,19.0,2.9,3.6,3.0,2.9,2.7,2.5,3.8,1.8,2.1
Concordia University,Texas,46.0,3.5,3.7,3.5,3.3,2.8,2.8,4.4,3.0,3.5
Concordia University,Nebraska,15.0,3.5,3.0,3.9,3.3,2.8,3.3,4.5,3.1,3.0
Concordia College,Minnesota,137.0,4.2,3.6,4.1,4.2,3.8,3.7,4.1,4.1,3.0
Concordia University Chicago,Illinois,63.0,3.1,3.8,3.2,3.2,2.7,2.6,3.5,2.5,3.3
Connecticut College,Connecticut,78.0,4.1,3.5,4.1,4.1,3.8,3.5,4.1,3.3,3.6
Concordia University Wisconsin,Wisconsin,89.0,3.7,4.0,3.3,3.3,3.0,2.8,4.6,2.4,2.9
Concordia University,California,63.0,4.0,4.6,4.2,3.8,3.3,3.5,4.7,3.1,3.4
Cooper Union,New York,41.0,2.9,4.4,3.7,3.8,2.8,2.5,4.5,2.8,3.3
Coppin State University,Maryland,49.0,3.3,2.3,3.2,2.9,2.8,2.8,2.3,2.7,3.1
Cornerstone University,Michigan,55.0,3.7,4.2,3.7,3.5,3.1,3.4,4.3,3.1,3.7
Criswell College,Texas,7.0,3.4,3.7,4.3,3.7,3.1,3.9,5.0,3.4,3.7
Creighton University,Nebraska,307.0,3.9,3.6,4.1,4.3,3.7,3.6,3.7,2.6,3.3
University of the Cumberlands,Kentucky,85.0,4.2,3.3,3.7,3.5,3.3,3.4,4.5,3.2,3.4
Culver-Stockton College,Missouri,20.0,3.3,2.7,3.1,3.2,3.0,3.1,3.6,2.6,3.3
Curry College,Massachusetts,89.0,3.3,3.2,3.0,3.0,2.8,2.6,3.3,2.6,2.8
East Carolina University,North Carolina,685.0,4.3,3.7,4.4,4.2,4.3,4.4,3.4,3.6,3.6
Covenant College,Georgia,61.0,3.8,4.1,4.3,3.5,3.2,3.8,4.5,2.5,3.1
East Central University,Oklahoma,68.0,3.6,3.2,3.7,3.2,3.2,2.9,3.4,3.0,3.2
